name;description;tags;image_filename;price
God of War;God of War is an action-adventure game developed by Santa Monica Studio and published by Sony Interactive Entertainment (SIE). Released on April 20, 2018, for the PlayStation 4 (PS4), it is the eighth installment in the God of War series, the eighth chronologically, and the sequel to 2010's God of War III. Unlike previous games, which were loosely based on Greek mythology, this installment is rooted in Norse mythology, with the majority of it set in ancient Norway in the realm of Midgard. For the first time in the series, there are two protagonists: Kratos, the former Greek God of War who remains the only playable character, and his young son Atreus. Following the death of Kratos' second wife and Atreus' mother, they journey to fulfill her request that her ashes be spread at the highest peak of the nine realms. Kratos keeps his troubled past a secret from Atreus, who is unaware of his divine nature. Along their journey, they encounter monsters and gods of the Norse world.;PlayStation 4|Single-player|Action-adventure|Hack and slash;God_of_War.jpg;28.95
Devil May Cry 5;Devil May Cry 5 is a hack and slash third-person shooter video game developed and published by Capcom. It is the sixth installment in the franchise not counting mobile games and the fifth installment of the mainline Devil May Cry series. Capcom released it for Microsoft Windows, PlayStation 4, and Xbox One on 8 March 2019. The game takes place five years after Devil May Cry 4 and follows a trio of warriors with demonic powers: the returning Dante, Nero and a new protagonist named V as they attempt to stop the Demon King Urizen from destroying the human world. Across the game, the player can use these characters in different missions. Each of them has their own way of fighting and becoming stronger. As this happens, the mystery behind V is revealed along with his connection with Urizen.;PC|Xbox One|PlayStation 4|Single-player|Multiplayer|Third-person shooter|Hack and slash;Devil_May_Cry_5.jpg;12.00
Resident Evil 2;Resident Evil 2 is a survival horror game developed and published by Capcom. It is a remake of the 1998 game of the same name. Unlike the original, which uses tank controls and fixed camera angles, the remake features "over-the-shoulder" third-person shooter gameplay similar to Resident Evil 4, and allows players the option to move while using their weapons.;PC|Xbox One|PlayStation 4|Single-player|Survival horror;Resident_Evil_2.jpg;37.95
Grand Theft Auto V;Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and arms smuggler Trevor Philips—and their efforts to commit heists while under pressure from a corrupt government agency and powerful crime figures. The open world design lets players freely roam San Andreas' open countryside and the fictional city of Los Santos, based on Los Angeles.;PC|PlayStation 4|Xbox One|Action-adventure|Single-player|Multiplayer;Grand_Theft_Auto_V.png;29.95
Mortal Kombat 11;Mortal Kombat 11 is a fighting game developed by NetherRealm Studios and published by Warner Bros. Interactive Entertainment. Running on a heavily modified version of Unreal Engine 3,[7] it is the eleventh main installment in the Mortal Kombat series and a sequel to 2015's Mortal Kombat X. Like the previous three games in the series, including MK Mobile, Mortal Kombat 11 is a 2.5D fighting game. Alongside the returning Fatalities, Brutalities, Stage Fatalities, Friendships and Quitalities, new gameplay features are introduced, such as Fatal Blows and Krushing Blows.;PC|PlayStation 4|Xbox One|Fighting|Single-player|Multiplayer;Mortal_Kombat_11.jpg;24.95
The Elder Scrolls V: Skyrim. Special Edition;The Elder Scrolls V: Skyrim is an action role-playing video game developed by Bethesda Game Studios and published by Bethesda Softworks. It is the fifth main installment in The Elder Scrolls series, following The Elder Scrolls IV: Oblivion. The game's main story revolves around the player's character, the Dragonborn, on their quest to defeat Alduin the World-Eater, a dragon who is prophesied to destroy the world. The game is set 200 years after the events of Oblivion and takes place in Skyrim, the northernmost province of Tamriel. Over the course of the game, the player completes quests and develops the character by improving skills. The game continues the open-world tradition of its predecessors by allowing the player to travel anywhere in the game world at any time, and to ignore or postpone the main storyline indefinitely.;PC|PlayStation 4|Xbox One|Action role-playing|Single-player;The_Elder_Scrolls_V.jpg;35.95
Call of Duty: WWII;Call of Duty: WWII is a 2017 first-person shooter video game developed by Sledgehammer Games and published by Activision. The game's campaign is set in the European theatre and is centered around a squad in the 1st Infantry Division following their battles on the Western Front and set mainly in the historical events of Operation Overlord.;PC|PlayStation 4|Xbox One|First-person shooter|Single-player|Multiplayer;Call_of_Duty_WWII.png;28.95
Sniper: Ghost Warrior Contracts;Sniper: Ghost Warrior Contracts is a tactical shooter video game developed and published by CI Games. It is the fifth game of the Sniper: Ghost Warrior series and is the sequel to Sniper: Ghost Warrior 3. Unlike its predecessor Sniper: Ghost Warrior 3, Sniper: Ghost Warrior Contracts uses mission-based gameplay, instead of focusing on open world format. The game offers five sizable maps, allowing players to complete a total of twenty-five missions with open-ended contracts.;PC|PlayStation 4|Xbox One|Tactical shooter|Stealth|Single-player|Multiplayer;Sniper_Ghost_Warrior_Contracts.jpeg;35.95
Call of Duty: Black Ops III;Call of Duty: Black Ops III is a 2015 first-person shooter video game, developed by Treyarch and published by Activision. It is the twelfth entry in the Call of Duty series and the sequel to the 2012 video game Call of Duty: Black Ops II. Black Ops III takes place in 2065, 40 years after the events of Black Ops II, in a world facing upheaval from climate change and new technologies. Similar to its predecessors, the story follows a group of black ops soldiers. The game's campaign is designed to support 4-player cooperative gameplay, allowing for bigger, more open level design and less corridor shooting. As the player character is cybernetically enhanced, players have access to various special activities. The game also features a standalone Zombies campaign mode, and a "Nightmares" mode which replaces all enemies as zombies.;PC|PlayStation 4|Xbox One|First-person shooter|Single-player|Multiplayer;Call_of_Duty_Black_Ops_III.jpg;24.95
Call of Duty: Modern Warfare;Call of Duty: Modern Warfare is a 2019 first-person shooter video game developed by Infinity Ward and published by Activision. Serving as the sixteenth overall installment in the Call of Duty series, as well as a reboot of the Modern Warfare sub-series. The game takes place in a realistic and modern setting. The campaign follows a CIA officer and British SAS forces as they team up with rebels from the fictional country of Urzikstan, combating together against Russian forces who have invaded the country. The game's Special Ops mode features cooperative play missions that follow up the campaign's story.;PC|PlayStation 4|Xbox One|First-person shooter|Single-player|Multiplayer;Call_of_Duty_Modern_Warfare.jpg;49.95
